                            	generic_memccpy	memccpy
Length   16, n   16, char 12, alignment  1/ 1:	33.6163	80.4892
Length   16, n   16, char 23, alignment  1/ 1:	34.8098	102.609
Length   16, n   16, char 28, alignment  1/ 2:	34.4431	78.7178
Length   16, n   16, char 31, alignment  2/ 1:	31.8577	77.6657
Length    2, n    4, char 1, alignment  7/ 2:	31.4949	91.5595
Length    4, n    2, char 17, alignment  2/ 7:	30.6913	92.0584
Length    2, n    4, char 0, alignment  7/ 2:	31.7663	91.304
Length    4, n    2, char 1, alignment  2/ 7:	30.5796	92.0115
Length   16, n   16, char 12, alignment  2/ 2:	32.4753	78.3156
Length   16, n   16, char 23, alignment  2/ 2:	32.166	77.9559
Length   16, n   16, char 28, alignment  2/ 4:	31.7913	77.8515
Length   16, n   16, char 31, alignment  4/ 2:	32.8525	82.0548
Length    4, n    8, char 1, alignment  6/ 4:	42.5463	69.4847
Length    8, n    4, char 17, alignment  4/ 6:	30.5119	76.2482
Length    4, n    8, char 0, alignment  6/ 4:	50.6731	77.2123
Length    8, n    4, char 2, alignment  4/ 6:	31.1069	75.0238
Length   16, n   16, char 12, alignment  3/ 3:	39.9251	97.1598
Length   16, n   16, char 23, alignment  3/ 3:	32.8955	77.7581
Length   16, n   16, char 28, alignment  3/ 6:	34.0866	76.7855
Length   16, n   16, char 31, alignment  6/ 3:	31.902	78.7978
Length    8, n   16, char 1, alignment  5/ 6:	32.129	72.7308
Length   16, n    8, char 17, alignment  6/ 5:	29.9486	81.063
Length    8, n   16, char 0, alignment  5/ 6:	31.9953	73.1809
Length   16, n    8, char 3, alignment  6/ 5:	30.1568	81.2499
Length   16, n   16, char 12, alignment  4/ 4:	31.789	70.669
Length   16, n   16, char 23, alignment  4/ 4:	31.9546	70.7059
Length   16, n   16, char 28, alignment  4/ 0:	32.1296	73.0034
Length   16, n   16, char 31, alignment  0/ 4:	32.0482	71.4988
Length   16, n   32, char 1, alignment  4/ 0:	32.9266	71.4162
Length   32, n   16, char 17, alignment  0/ 4:	29.0778	85.9244
Length   16, n   32, char 0, alignment  4/ 0:	31.9298	70.1235
Length   32, n   16, char 4, alignment  0/ 4:	28.6224	86.3756
Length   16, n   16, char 12, alignment  5/ 5:	31.791	77.2147
Length   16, n   16, char 23, alignment  5/ 5:	31.8879	77.5479
Length   16, n   16, char 28, alignment  5/ 2:	33.7799	77.2341
Length   16, n   16, char 31, alignment  2/ 5:	32.0836	77.7058
Length   32, n   64, char 1, alignment  3/ 2:	42.5406	85.4459
Length   64, n   32, char 17, alignment  2/ 3:	38.3856	95.8207
Length   32, n   64, char 0, alignment  3/ 2:	42.7385	84.0071
Length   64, n   32, char 5, alignment  2/ 3:	38.8475	97.5079
Length   16, n   16, char 12, alignment  6/ 6:	32.373	79.4942
Length   16, n   16, char 23, alignment  6/ 6:	33.847	77.9211
Length   16, n   16, char 28, alignment  6/ 4:	32.0441	77.7356
Length   16, n   16, char 31, alignment  4/ 6:	32.3124	69.746
Length   64, n  128, char 1, alignment  2/ 4:	47.7263	106.415
Length  128, n   64, char 17, alignment  4/ 2:	44.0784	105.015
Length   64, n  128, char 0, alignment  2/ 4:	49.0369	106.943
Length  128, n   64, char 6, alignment  4/ 2:	42.6252	103.952
Length   16, n   16, char 12, alignment  7/ 7:	32.5253	76.6405
