                       	__stpcpy_chk	normal_stpcpy
Length    0, alignment  0/ 0:	95.5068	7.84862
Length    0, alignment  0/ 0:	94.5072	7.89061
Length    0, alignment  0/ 0:	95.723	8.48956
Length    0, alignment  0/ 0:	98.7927	7.81689
Length    1, alignment  0/ 0:	101.369	10.3229
Length    1, alignment  0/ 0:	95.2725	8.95222
Length    1, alignment  0/ 1:	152.75	8.11012
Length    1, alignment  1/ 0:	95.2978	8.32179
Length    2, alignment  0/ 0:	107.027	11.8591
Length    2, alignment  0/ 0:	98.8639	12.0625
Length    2, alignment  0/ 2:	102.541	10.6202
Length    2, alignment  2/ 0:	94.4314	10.8829
Length    3, alignment  0/ 0:	74.6776	10.5459
Length    3, alignment  0/ 0:	76.3422	10.7093
Length    3, alignment  0/ 3:	67.2652	12.9384
Length    3, alignment  3/ 0:	69.9438	9.6311
Length    4, alignment  0/ 0:	76.675	11.8262
Length    4, alignment  0/ 0:	75.8999	11.7509
Length    4, alignment  0/ 4:	75.95	10.8997
Length    4, alignment  4/ 0:	75.8639	10.7319
Length    5, alignment  0/ 0:	75.524	13.2368
Length    5, alignment  0/ 0:	76.7859	13.3488
Length    5, alignment  0/ 5:	65.5541	12.1509
Length    5, alignment  5/ 0:	67.6387	11.606
Length    6, alignment  0/ 0:	76.2226	15.7852
Length    6, alignment  0/ 0:	77.5194	15.9036
Length    6, alignment  0/ 6:	67.8842	11.5805
Length    6, alignment  6/ 0:	66.6804	11.6208
Length    7, alignment  0/ 0:	79.9557	15.4102
Length    7, alignment  0/ 0:	77.5598	15.1037
Length    7, alignment  0/ 7:	65.9698	12.8039
Length    7, alignment  7/ 0:	66.7391	12.5161
Length    8, alignment  0/ 0:	77.6282	17.3851
Length    8, alignment  0/ 0:	77.3385	17.4082
Length    8, alignment  0/ 0:	77.1582	17.3669
Length    8, alignment  0/ 0:	76.6793	17.3306
Length    9, alignment  0/ 0:	78.4586	19.3012
Length    9, alignment  0/ 0:	83.5577	19.3332
Length    9, alignment  0/ 1:	69.2567	18.8345
Length    9, alignment  1/ 0:	69.3664	19.4985
Length   10, alignment  0/ 0:	82.8148	21.7813
Length   10, alignment  0/ 0:	84.9519	20.5346
Length   10, alignment  0/ 2:	70.6169	19.4748
Length   10, alignment  2/ 0:	69.5343	19.9125
Length   11, alignment  0/ 0:	80.1016	22.4344
Length   11, alignment  0/ 0:	79.7949	22.4911
Length   11, alignment  0/ 3:	69.3709	20.077
Length   11, alignment  3/ 0:	68.407	20.9163
Length   12, alignment  0/ 0:	78.5721	24.4571
Length   12, alignment  0/ 0:	78.9261	24.2908
Length   12, alignment  0/ 4:	79.4631	21.5959
Length   12, alignment  4/ 0:	79.2147	22.5218
Length   13, alignment  0/ 0:	83.5879	24.6741
Length   13, alignment  0/ 0:	82.5982	25.4794
Length   13, alignment  0/ 5:	73.9826	22.3766
Length   13, alignment  5/ 0:	71.2833	23.6708
Length   14, alignment  0/ 0:	80.444	25.4238
Length   14, alignment  0/ 0:	80.4044	25.3084
Length   14, alignment  0/ 6:	74.2985	22.5821
Length   14, alignment  6/ 0:	71.67	23.6833
Length   15, alignment  0/ 0:	81.5318	25.3679
Length   15, alignment  0/ 0:	81.9602	25.0442
Length   15, alignment  0/ 7:	72.738	23.1094
Length   15, alignment  7/ 0:	74.2309	23.9848
Length   16, alignment  0/ 0:	82.0813	28.3027
Length   16, alignment  7/ 2:	74.5535	32.3091
Length   32, alignment  0/ 0:	98.8561	31.833
Length   32, alignment  6/ 4:	89.1419	33.8598
Length   64, alignment  0/ 0:	120.391	32.0135
Length   64, alignment  5/ 6:	111.615	34.0734
Length  128, alignment  0/ 0:	191.697	46.3381
Length  128, alignment  4/ 0:	200.852	46.2301
Length  256, alignment  0/ 0:	327.491	51.0187
Length  256, alignment  3/ 2:	318.563	51.0014
Length  512, alignment  0/ 0:	595.65	68.3113
Length  512, alignment  2/ 4:	595.272	71.9545
Length 1024, alignment  0/ 0:	1130.56	104.436
Length 1024, alignment  1/ 6:	1151.19	113.501
Length   16, alignment  1/ 2:	76.3501	28.4419
Length   16, alignment  2/ 1:	73.0331	30.3971
Length   16, alignment  1/ 1:	88.241	28.7246
Length   16, alignment  1/ 1:	87.6872	28.4371
Length   32, alignment  2/ 4:	89.1143	32.5685
Length   32, alignment  4/ 2:	89.5413	33.6553
Length   32, alignment  2/ 2:	102.213	32.8057
Length   32, alignment  2/ 2:	102.211	32.8691
Length   64, alignment  3/ 6:	111.745	35.3142
Length   64, alignment  6/ 3:	120.079	36.9963
Length   64, alignment  3/ 3:	124.576	33.4904
Length   64, alignment  3/ 3:	124.241	32.9615
Length  128, alignment  4/ 0:	193.904	45.2953
Length  128, alignment  0/ 4:	193.129	47.1845
Length  128, alignment  4/ 4:	193.356	44.9682
Length  128, alignment  4/ 4:	199.041	45.0453
Length  256, alignment  5/ 2:	322.041	51.5489
Length  256, alignment  2/ 5:	338.205	51.5371
Length  256, alignment  5/ 5:	343.342	54.4602
Length  256, alignment  5/ 5:	335.87	51.5683
Length  512, alignment  6/ 4:	595.96	76.388
Length  512, alignment  4/ 6:	598.483	70.9804
Length  512, alignment  6/ 6:	607.568	71.4438
Length  512, alignment  6/ 6:	600.268	72.275
Length 1024, alignment  7/ 6:	1131.27	106.189
Length 1024, alignment  6/ 7:	1150.36	108.263
Length 1024, alignment  7/ 7:	1134.3	111.09
Length 1024, alignment  7/ 7:	1134.59	119.034
Length    0, alignment  0/ 0:	93.8397	7.89799
Length    0, alignment  0/ 0:	92.9952	7.67493
Length    0, alignment  0/ 0:	95.365	7.80411
Length    0, alignment  0/ 0:	96.3742	7.78156
Length    1, alignment  0/ 0:	94.2313	8.85197
