                       	__strcpy_chk	normal_strcpy
Length    0, alignment  0/ 0:	94.98	7.71388
Length    0, alignment  0/ 0:	93.9267	7.70825
Length    0, alignment  0/ 0:	94.1421	7.60561
Length    0, alignment  0/ 0:	94.6392	7.86578
Length    1, alignment  0/ 0:	94.8188	9.77107
Length    1, alignment  0/ 0:	145.35	12.3156
Length    1, alignment  0/ 1:	96.264	8.43919
Length    1, alignment  1/ 0:	95.0326	9.85695
Length    2, alignment  0/ 0:	97.7654	12.5037
Length    2, alignment  0/ 0:	97.3197	12.4901
Length    2, alignment  0/ 2:	98.5111	11.9445
Length    2, alignment  2/ 0:	97.5948	11.3943
Length    3, alignment  0/ 0:	74.7268	11.3779
Length    3, alignment  0/ 0:	76.2467	11.5201
Length    3, alignment  0/ 3:	67.4131	10.0382
Length    3, alignment  3/ 0:	68.0198	10.5312
Length    4, alignment  0/ 0:	74.7439	12.9034
Length    4, alignment  0/ 0:	74.7482	12.8158
Length    4, alignment  0/ 4:	75.3987	11.6474
Length    4, alignment  4/ 0:	75.3733	11.382
Length    5, alignment  0/ 0:	76.5813	13.548
Length    5, alignment  0/ 0:	76.4866	13.6207
Length    5, alignment  0/ 5:	70.7279	12.2096
Length    5, alignment  5/ 0:	71.5409	12.1196
Length    6, alignment  0/ 0:	77.2493	15.806
Length    6, alignment  0/ 0:	77.2489	15.8225
Length    6, alignment  0/ 6:	67.6601	13.699
Length    6, alignment  6/ 0:	72.2749	12.1583
Length    7, alignment  0/ 0:	76.4829	15.2227
Length    7, alignment  0/ 0:	76.3376	15.3979
Length    7, alignment  0/ 7:	70.4247	12.6612
Length    7, alignment  7/ 0:	70.3863	12.7419
Length    8, alignment  0/ 0:	77.9331	17.7268
Length    8, alignment  0/ 0:	79.0869	17.7776
Length    8, alignment  0/ 0:	77.0121	17.7191
Length    8, alignment  0/ 0:	77.0163	17.7033
Length    9, alignment  0/ 0:	78.0769	18.9739
Length    9, alignment  0/ 0:	78.9539	18.8916
Length    9, alignment  0/ 1:	72.6992	19.3765
Length    9, alignment  1/ 0:	72.6797	19.1784
Length   10, alignment  0/ 0:	79.8699	20.6582
Length   10, alignment  0/ 0:	79.9599	20.6853
Length   10, alignment  0/ 2:	70.062	20.2044
Length   10, alignment  2/ 0:	71.2231	20.226
Length   11, alignment  0/ 0:	79.0237	22.6121
Length   11, alignment  0/ 0:	79.0972	22.5443
Length   11, alignment  0/ 3:	72.3156	20.4967
Length   11, alignment  3/ 0:	71.0126	21.2286
Length   12, alignment  0/ 0:	78.9992	24.1932
Length   12, alignment  0/ 0:	79.4658	24.3258
Length   12, alignment  0/ 4:	79.1815	21.3949
Length   12, alignment  4/ 0:	79.173	23.7495
Length   13, alignment  0/ 0:	81.0358	25.2265
Length   13, alignment  0/ 0:	81.7599	25.2092
Length   13, alignment  0/ 5:	73.2129	22.2111
Length   13, alignment  5/ 0:	74.9792	24.4938
Length   14, alignment  0/ 0:	82.3192	25.5274
Length   14, alignment  0/ 0:	82.4887	25.4061
Length   14, alignment  0/ 6:	74.3029	22.5541
Length   14, alignment  6/ 0:	76.4714	23.7347
Length   15, alignment  0/ 0:	81.3999	26.0863
Length   15, alignment  0/ 0:	81.4869	26.2335
Length   15, alignment  0/ 7:	75.7483	23.3381
Length   15, alignment  7/ 0:	76.4854	24.9414
Length   16, alignment  0/ 0:	83.7626	28.4759
Length   16, alignment  7/ 2:	78.2123	32.975
Length   32, alignment  0/ 0:	97.8907	30.0425
Length   32, alignment  6/ 4:	92.5505	34.4311
Length   64, alignment  0/ 0:	118.73	31.8424
Length   64, alignment  5/ 6:	112.738	34.3381
Length  128, alignment  0/ 0:	190.827	43.3056
