                       	strsep
Length    8/2, alignment  0/ 0, found:	82.1226
Length    8/2, alignment  0/ 0, fail:	76.5728
Length    8/2, alignment  0/ 3, found:	81.2305
Length    8/2, alignment  0/ 3, fail:	79.6382
Length    8/2, alignment  0/ 9, found:	78.3457
Length    8/2, alignment  0/ 9, fail:	76.0913
Length    8/2, alignment  0/15, found:	81.0977
Length    8/2, alignment  0/15, fail:	83.3691
Length    8/2, alignment  3/ 0, found:	78.1045
Length    8/2, alignment  3/ 0, fail:	78.3865
Length    8/2, alignment  3/ 3, found:	78.094
Length    8/2, alignment  3/ 3, fail:	84.9888
Length    8/2, alignment  3/ 9, found:	78.1025
Length    8/2, alignment  3/ 9, fail:	78.7297
Length    8/2, alignment  3/15, found:	80.363
Length    8/2, alignment  3/15, fail:	76.1958
Length    8/2, alignment  9/ 0, found:	78.1038
Length    8/2, alignment  9/ 0, fail:	77.9675
Length    8/2, alignment  9/ 3, found:	80.0537
Length    8/2, alignment  9/ 3, fail:	76.1726
Length    8/2, alignment  9/ 9, found:	78.0774
Length    8/2, alignment  9/ 9, fail:	76.5569
Length    8/2, alignment  9/15, found:	80.7207
Length    8/2, alignment  9/15, fail:	76.4133
Length    8/2, alignment 15/ 0, found:	80.4124
Length    8/2, alignment 15/ 0, fail:	76.0847
Length    8/2, alignment 15/ 3, found:	80.3701
Length    8/2, alignment 15/ 3, fail:	76.0818
Length    8/2, alignment 15/ 9, found:	79.9094
Length    8/2, alignment 15/ 9, fail:	76.084
Length    8/2, alignment 15/15, found:	78.4275
Length    8/2, alignment 15/15, fail:	76.1245
Length   10/2, alignment  0/ 0, found:	80.5063
Length   10/2, alignment  0/ 0, fail:	79.2795
Length   10/2, alignment  0/ 3, found:	78.2188
Length   10/2, alignment  0/ 3, fail:	76.356
Length   10/2, alignment  0/ 9, found:	78.217
Length   10/2, alignment  0/ 9, fail:	78.4387
Length   10/2, alignment  0/15, found:	78.2837
Length   10/2, alignment  0/15, fail:	78.5847
Length   10/2, alignment  3/ 0, found:	78.1677
Length   10/2, alignment  3/ 0, fail:	78.4324
Length   10/2, alignment  3/ 3, found:	78.2002
Length   10/2, alignment  3/ 3, fail:	78.1663
Length   10/2, alignment  3/ 9, found:	80.7449
Length   10/2, alignment  3/ 9, fail:	76.386
