                       	strtok
Length    4/2, alignment  0/ 0, found:	198.396
Length    4/2, alignment  0/ 0, fail:	183.016
Length    4/2, alignment  0/ 3, found:	182.491
Length    4/2, alignment  0/ 3, fail:	224.775
Length    4/2, alignment  0/ 9, found:	183.372
Length    4/2, alignment  0/ 9, fail:	183.004
Length    4/2, alignment  0/15, found:	183.45
Length    4/2, alignment  0/15, fail:	200.155
Length    4/2, alignment  3/ 0, found:	204.625
Length    4/2, alignment  3/ 0, fail:	219.22
Length    4/2, alignment  3/ 3, found:	186.278
Length    4/2, alignment  3/ 3, fail:	187.362
Length    4/2, alignment  3/ 9, found:	214.437
Length    4/2, alignment  3/ 9, fail:	185.886
Length    4/2, alignment  3/15, found:	186.378
Length    4/2, alignment  3/15, fail:	231.199
Length    4/2, alignment  9/ 0, found:	183.68
Length    4/2, alignment  9/ 0, fail:	183.009
Length    4/2, alignment  9/ 3, found:	197.855
Length    4/2, alignment  9/ 3, fail:	182.987
Length    4/2, alignment  9/ 9, found:	182.751
Length    4/2, alignment  9/ 9, fail:	212.773
Length    4/2, alignment  9/15, found:	183.143
Length    4/2, alignment  9/15, fail:	182.915
Length    4/2, alignment 15/ 0, found:	194.402
Length    4/2, alignment 15/ 0, fail:	183.005
Length    4/2, alignment 15/ 3, found:	182.73
Length    4/2, alignment 15/ 3, fail:	203.748
Length    4/2, alignment 15/ 9, found:	183.795
Length    4/2, alignment 15/ 9, fail:	182.814
Length    4/2, alignment 15/15, found:	183.639
Length    4/2, alignment 15/15, fail:	191.578
Length    6/2, alignment  0/ 0, found:	182.444
Length    6/2, alignment  0/ 0, fail:	203.585
Length    6/2, alignment  0/ 3, found:	182.209
Length    6/2, alignment  0/ 3, fail:	184.067
Length    6/2, alignment  0/ 9, found:	182.332
Length    6/2, alignment  0/ 9, fail:	195.953
Length    6/2, alignment  0/15, found:	182.214
Length    6/2, alignment  0/15, fail:	184.007
Length    6/2, alignment  3/ 0, found:	206.175
Length    6/2, alignment  3/ 0, fail:	183.678
Length    6/2, alignment  3/ 3, found:	182.378
Length    6/2, alignment  3/ 3, fail:	195.945
Length    6/2, alignment  3/ 9, found:	182.228
Length    6/2, alignment  3/ 9, fail:	183.927
Length    6/2, alignment  3/15, found:	213.811
Length    6/2, alignment  3/15, fail:	184.129
Length    6/2, alignment  9/ 0, found:	182.366
Length    6/2, alignment  9/ 0, fail:	184.037
Length    6/2, alignment  9/ 3, found:	182.223
Length    6/2, alignment  9/ 3, fail:	183.875
Length    6/2, alignment  9/ 9, found:	2671.1
Length    6/2, alignment  9/ 9, fail:	184.081
Length    6/2, alignment  9/15, found:	182.704
Length    6/2, alignment  9/15, fail:	202.391
Length    6/2, alignment 15/ 0, found:	183.025
Length    6/2, alignment 15/ 0, fail:	184.203
Length    6/2, alignment 15/ 3, found:	195.508
Length    6/2, alignment 15/ 3, fail:	184.039
Length    6/2, alignment 15/ 9, found:	182.802
Length    6/2, alignment 15/ 9, fail:	184.21
Length    6/2, alignment 15/15, found:	192.784
Length    6/2, alignment 15/15, fail:	184.281
Length    8/2, alignment  0/ 0, found:	196.35
Length    8/2, alignment  0/ 0, fail:	184.258
Length    8/2, alignment  0/ 3, found:	183.007
Length    8/2, alignment  0/ 3, fail:	183.804
Length    8/2, alignment  0/ 9, found:	194.439
Length    8/2, alignment  0/ 9, fail:	185.152
Length    8/2, alignment  0/15, found:	183.005
Length    8/2, alignment  0/15, fail:	197.396
Length    8/2, alignment  3/ 0, found:	183.403
Length    8/2, alignment  3/ 0, fail:	184.567
Length    8/2, alignment  3/ 3, found:	193.57
Length    8/2, alignment  3/ 3, fail:	186.551
Length    8/2, alignment  3/ 9, found:	185.246
Length    8/2, alignment  3/ 9, fail:	202.055
Length    8/2, alignment  3/15, found:	183.607
Length    8/2, alignment  3/15, fail:	185.423
Length    8/2, alignment  9/ 0, found:	184.657
Length    8/2, alignment  9/ 0, fail:	192.488
Length    8/2, alignment  9/ 3, found:	183.15
Length    8/2, alignment  9/ 3, fail:	193.221
Length    8/2, alignment  9/ 9, found:	183.182
Length    8/2, alignment  9/ 9, fail:	184.853
Length    8/2, alignment  9/15, found:	183.385
Length    8/2, alignment  9/15, fail:	192.082
Length    8/2, alignment 15/ 0, found:	183.658
Length    8/2, alignment 15/ 0, fail:	193.471
Length    8/2, alignment 15/ 3, found:	182.973
Length    8/2, alignment 15/ 3, fail:	184.324
Length    8/2, alignment 15/ 9, found:	183.232
Length    8/2, alignment 15/ 9, fail:	191.445
Length    8/2, alignment 15/15, found:	183.385
Length    8/2, alignment 15/15, fail:	184.226
Length   10/2, alignment  0/ 0, found:	215.387
Length   10/2, alignment  0/ 0, fail:	183.458
Length   10/2, alignment  0/ 3, found:	182.993
Length   10/2, alignment  0/ 3, fail:	194.643
Length   10/2, alignment  0/ 9, found:	183.078
Length   10/2, alignment  0/ 9, fail:	183.156
Length   10/2, alignment  0/15, found:	207.608
Length   10/2, alignment  0/15, fail:	184.078
Length   10/2, alignment  3/ 0, found:	183.204
Length   10/2, alignment  3/ 0, fail:	183.504
Length   10/2, alignment  3/ 3, found:	191.476
Length   10/2, alignment  3/ 3, fail:	184.501
Length   10/2, alignment  3/ 9, found:	192.644
Length   10/2, alignment  3/ 9, fail:	183.522
Length   10/2, alignment  3/15, found:	182.857
Length   10/2, alignment  3/15, fail:	184.41
Length   10/2, alignment  9/ 0, found:	192.912
Length   10/2, alignment  9/ 0, fail:	184.025
Length   10/2, alignment  9/ 3, found:	191.997
Length   10/2, alignment  9/ 3, fail:	183.697
Length   10/2, alignment  9/ 9, found:	183.168
Length   10/2, alignment  9/ 9, fail:	184.357
Length   10/2, alignment  9/15, found:	210.59
Length   10/2, alignment  9/15, fail:	234.694
Length   10/2, alignment 15/ 0, found:	269.417
Length   10/2, alignment 15/ 0, fail:	384.935
Length   10/2, alignment 15/ 3, found:	224.259
Length   10/2, alignment 15/ 3, fail:	182.884
Length   10/2, alignment 15/ 9, found:	183.033
Length   10/2, alignment 15/ 9, fail:	204.013
Length   10/2, alignment 15/15, found:	182.778
Length   10/2, alignment 15/15, fail:	185.374
Length   12/2, alignment  0/ 0, found:	256.7
Length   12/2, alignment  0/ 0, fail:	284.716
Length   12/2, alignment  0/ 3, found:	216.079
Length   12/2, alignment  0/ 3, fail:	183.634
Length   12/2, alignment  0/ 9, found:	183.014
Length   12/2, alignment  0/ 9, fail:	183.79
Length   12/2, alignment  0/15, found:	197.521
Length   12/2, alignment  0/15, fail:	183.849
Length   12/2, alignment  3/ 0, found:	194.44
Length   12/2, alignment  3/ 0, fail:	184.011
Length   12/2, alignment  3/ 3, found:	184.758
Length   12/2, alignment  3/ 3, fail:	185.479
Length   12/2, alignment  3/ 9, found:	204.963
Length   12/2, alignment  3/ 9, fail:	186.038
Length   12/2, alignment  3/15, found:	188.662
Length   12/2, alignment  3/15, fail:	198.877
Length   12/2, alignment  9/ 0, found:	184.135
Length   12/2, alignment  9/ 0, fail:	186.091
Length   12/2, alignment  9/ 3, found:	198.545
Length   12/2, alignment  9/ 3, fail:	185.381
Length   12/2, alignment  9/ 9, found:	186.358
Length   12/2, alignment  9/ 9, fail:	197.497
Length   12/2, alignment  9/15, found:	186.321
Length   12/2, alignment  9/15, fail:	184.582
Length   12/2, alignment 15/ 0, found:	199.316
Length   12/2, alignment 15/ 0, fail:	185.464
Length   12/2, alignment 15/ 3, found:	184.493
Length   12/2, alignment 15/ 3, fail:	196.816
Length   12/2, alignment 15/ 9, found:	186.349
Length   12/2, alignment 15/ 9, fail:	185.837
Length   12/2, alignment 15/15, found:	184.452
Length   12/2, alignment 15/15, fail:	208.426
Length   14/2, alignment  0/ 0, found:	184.575
Length   14/2, alignment  0/ 0, fail:	196.837
Length   14/2, alignment  0/ 3, found:	184.979
Length   14/2, alignment  0/ 3, fail:	191.281
Length   14/2, alignment  0/ 9, found:	194.71
Length   14/2, alignment  0/ 9, fail:	214.252
Length   14/2, alignment  0/15, found:	183.603
Length   14/2, alignment  0/15, fail:	207.244
Length   14/2, alignment  3/ 0, found:	183.209
Length   14/2, alignment  3/ 0, fail:	184.619
Length   14/2, alignment  3/ 3, found:	183.542
Length   14/2, alignment  3/ 3, fail:	195.934
Length   14/2, alignment  3/ 9, found:	183.253
Length   14/2, alignment  3/ 9, fail:	194.101
Length   14/2, alignment  3/15, found:	183.505
Length   14/2, alignment  3/15, fail:	183.996
Length   14/2, alignment  9/ 0, found:	183.571
Length   14/2, alignment  9/ 0, fail:	195.258
Length   14/2, alignment  9/ 3, found:	184.204
Length   14/2, alignment  9/ 3, fail:	200.025
Length   14/2, alignment  9/ 9, found:	184.185
Length   14/2, alignment  9/ 9, fail:	184.902
Length   14/2, alignment  9/15, found:	184.831
Length   14/2, alignment  9/15, fail:	193.144
Length   14/2, alignment 15/ 0, found:	183.355
Length   14/2, alignment 15/ 0, fail:	184.609
Length   14/2, alignment 15/ 3, found:	193.317
Length   14/2, alignment 15/ 3, fail:	185.028
Length   14/2, alignment 15/ 9, found:	183.695
Length   14/2, alignment 15/ 9, fail:	204.297
Length   14/2, alignment 15/15, found:	189.136
Length   14/2, alignment 15/15, fail:	184.684
Length   16/2, alignment  0/ 0, found:	195.762
Length   16/2, alignment  0/ 0, fail:	215.932
Length   16/2, alignment  0/ 3, found:	185.943
Length   16/2, alignment  0/ 3, fail:	205.192
Length   16/2, alignment  0/ 9, found:	184.944
Length   16/2, alignment  0/ 9, fail:	187.538
Length   16/2, alignment  0/15, found:	195.813
Length   16/2, alignment  0/15, fail:	187.272
Length   16/2, alignment  3/ 0, found:	184.675
Length   16/2, alignment  3/ 0, fail:	187.567
Length   16/2, alignment  3/ 3, found:	193.229
Length   16/2, alignment  3/ 3, fail:	187.732
Length   16/2, alignment  3/ 9, found:	193.24
Length   16/2, alignment  3/ 9, fail:	207.994
Length   16/2, alignment  3/15, found:	186.776
Length   16/2, alignment  3/15, fail:	187.505
Length   16/2, alignment  9/ 0, found:	198.679
Length   16/2, alignment  9/ 0, fail:	187.361
Length   16/2, alignment  9/ 3, found:	199.431
Length   16/2, alignment  9/ 3, fail:	187.832
Length   16/2, alignment  9/ 9, found:	185.095
Length   16/2, alignment  9/ 9, fail:	187.485
Length   16/2, alignment  9/15, found:	200.725
Length   16/2, alignment  9/15, fail:	187.451
Length   16/2, alignment 15/ 0, found:	196.302
Length   16/2, alignment 15/ 0, fail:	187.754
Length   16/2, alignment 15/ 3, found:	184.802
Length   16/2, alignment 15/ 3, fail:	188.054
Length   16/2, alignment 15/ 9, found:	202.038
Length   16/2, alignment 15/ 9, fail:	229.479
Length   16/2, alignment 15/15, found:	218.913
Length   16/2, alignment 15/15, fail:	333.781
Length   18/2, alignment  0/ 0, found:	333.698
Length   18/2, alignment  0/ 0, fail:	187.905
Length   18/2, alignment  0/ 3, found:	184.962
Length   18/2, alignment  0/ 3, fail:	214.274
Length   18/2, alignment  0/ 9, found:	185.013
Length   18/2, alignment  0/ 9, fail:	189.9
Length   18/2, alignment  0/15, found:	202.746
Length   18/2, alignment  0/15, fail:	190.735
Length   18/2, alignment  3/ 0, found:	185.155
Length   18/2, alignment  3/ 0, fail:	199.987
Length   18/2, alignment  3/ 3, found:	187.34
Length   18/2, alignment  3/ 3, fail:	189.305
Length   18/2, alignment  3/ 9, found:	185.187
Length   18/2, alignment  3/ 9, fail:	208.512
Length   18/2, alignment  3/15, found:	185.224
Length   18/2, alignment  3/15, fail:	201.812
Length   18/2, alignment  9/ 0, found:	184.298
Length   18/2, alignment  9/ 0, fail:	189.129
Length   18/2, alignment  9/ 3, found:	183.524
Length   18/2, alignment  9/ 3, fail:	204.926
Length   18/2, alignment  9/ 9, found:	184.306
Length   18/2, alignment  9/ 9, fail:	206.519
Length   18/2, alignment  9/15, found:	184.384
Length   18/2, alignment  9/15, fail:	189.433
Length   18/2, alignment 15/ 0, found:	184.664
Length   18/2, alignment 15/ 0, fail:	201.01
Length   18/2, alignment 15/ 3, found:	185.222
Length   18/2, alignment 15/ 3, fail:	199.963
Length   18/2, alignment 15/ 9, found:	184.719
Length   18/2, alignment 15/ 9, fail:	188.64
Length   18/2, alignment 15/15, found:	186.767
Length   18/2, alignment 15/15, fail:	198.187
Length   20/2, alignment  0/ 0, found:	187.139
Length   20/2, alignment  0/ 0, fail:	202.005
Length   20/2, alignment  0/ 3, found:	188.341
Length   20/2, alignment  0/ 3, fail:	191.046
Length   20/2, alignment  0/ 9, found:	185.422
Length   20/2, alignment  0/ 9, fail:	197.8
Length   20/2, alignment  0/15, found:	183.921
Length   20/2, alignment  0/15, fail:	191.494
Length   20/2, alignment  3/ 0, found:	183.326
Length   20/2, alignment  3/ 0, fail:	188.868
Length   20/2, alignment  3/ 3, found:	192.694
Length   20/2, alignment  3/ 3, fail:	214.307
Length   20/2, alignment  3/ 9, found:	186.938
Length   20/2, alignment  3/ 9, fail:	244.943
Length   20/2, alignment  3/15, found:	183.37
Length   20/2, alignment  3/15, fail:	187.148
Length   20/2, alignment  9/ 0, found:	183.243
Length   20/2, alignment  9/ 0, fail:	198.88
Length   20/2, alignment  9/ 3, found:	200.925
Length   20/2, alignment  9/ 3, fail:	199.958
Length   20/2, alignment  9/ 9, found:	183.293
Length   20/2, alignment  9/ 9, fail:	188.093
Length   20/2, alignment  9/15, found:	183.36
Length   20/2, alignment  9/15, fail:	203.62
Length   20/2, alignment 15/ 0, found:	182.768
Length   20/2, alignment 15/ 0, fail:	198.089
Length   20/2, alignment 15/ 3, found:	182.869
Length   20/2, alignment 15/ 3, fail:	188.16
Length   20/2, alignment 15/ 9, found:	182.841
Length   20/2, alignment 15/ 9, fail:	196.198
Length   20/2, alignment 15/15, found:	182.846
Length   20/2, alignment 15/15, fail:	187.26
Length   22/2, alignment  0/ 0, found:	195.296
Length   22/2, alignment  0/ 0, fail:	187.726
Length   22/2, alignment  0/ 3, found:	185.825
Length   22/2, alignment  0/ 3, fail:	199.37
Length   22/2, alignment  0/ 9, found:	190.326
Length   22/2, alignment  0/ 9, fail:	187.943
Length   22/2, alignment  0/15, found:	200.813
Length   22/2, alignment  0/15, fail:	194.455
Length   22/2, alignment  3/ 0, found:	198.887
Length   22/2, alignment  3/ 0, fail:	234.758
Length   22/2, alignment  3/ 3, found:	186.028
Length   22/2, alignment  3/ 3, fail:	210.196
Length   22/2, alignment  3/ 9, found:	285.86
Length   22/2, alignment  3/ 9, fail:	282.845
Length   22/2, alignment  3/15, found:	302.452
Length   22/2, alignment  3/15, fail:	287.437
Length   22/2, alignment  9/ 0, found:	273.943
Length   22/2, alignment  9/ 0, fail:	188.069
Length   22/2, alignment  9/ 3, found:	212.547
Length   22/2, alignment  9/ 3, fail:	203.494
Length   22/2, alignment  9/ 9, found:	186.558
Length   22/2, alignment  9/ 9, fail:	204.956
Length   22/2, alignment  9/15, found:	186.435
Length   22/2, alignment  9/15, fail:	189.929
Length   22/2, alignment 15/ 0, found:	191.792
Length   22/2, alignment 15/ 0, fail:	214.715
Length   22/2, alignment 15/ 3, found:	193.714
Length   22/2, alignment 15/ 3, fail:	232.364
Length   22/2, alignment 15/ 9, found:	188.6
Length   22/2, alignment 15/ 9, fail:	196.369
Length   22/2, alignment 15/15, found:	217.748
Length   22/2, alignment 15/15, fail:	190.463
Length   24/2, alignment  0/ 0, found:	190.066
Length   24/2, alignment  0/ 0, fail:	209.558
Length   24/2, alignment  0/ 3, found:	190.061
Length   24/2, alignment  0/ 3, fail:	188.522
Length   24/2, alignment  0/ 9, found:	210.922
Length   24/2, alignment  0/ 9, fail:	188.105
Length   24/2, alignment  0/15, found:	189.438
Length   24/2, alignment  0/15, fail:	197.818
Length   24/2, alignment  3/ 0, found:	189.453
Length   24/2, alignment  3/ 0, fail:	188.133
Length   24/2, alignment  3/ 3, found:	203.062
Length   24/2, alignment  3/ 3, fail:	187.246
Length   24/2, alignment  3/ 9, found:	189.413
Length   24/2, alignment  3/ 9, fail:	198.52
Length   24/2, alignment  3/15, found:	189.286
Length   24/2, alignment  3/15, fail:	186.779
Length   24/2, alignment  9/ 0, found:	189.467
Length   24/2, alignment  9/ 0, fail:	197.765
Length   24/2, alignment  9/ 3, found:	189.45
Length   24/2, alignment  9/ 3, fail:	196.849
Length   24/2, alignment  9/ 9, found:	189.566
Length   24/2, alignment  9/ 9, fail:	200.039
Length   24/2, alignment  9/15, found:	191.155
Length   24/2, alignment  9/15, fail:	198.063
Length   24/2, alignment 15/ 0, found:	189.747
Length   24/2, alignment 15/ 0, fail:	197.663
Length   24/2, alignment 15/ 3, found:	188.723
Length   24/2, alignment 15/ 3, fail:	186.987
Length   24/2, alignment 15/ 9, found:	189.412
Length   24/2, alignment 15/ 9, fail:	197.004
Length   24/2, alignment 15/15, found:	189.342
Length   24/2, alignment 15/15, fail:	196.189
Length   26/2, alignment  0/ 0, found:	190.921
Length   26/2, alignment  0/ 0, fail:	187.018
Length   26/2, alignment  0/ 3, found:	190.746
Length   26/2, alignment  0/ 3, fail:	200.188
Length   26/2, alignment  0/ 9, found:	190.496
Length   26/2, alignment  0/ 9, fail:	196.975
Length   26/2, alignment  0/15, found:	190.555
Length   26/2, alignment  0/15, fail:	188.163
Length   26/2, alignment  3/ 0, found:	190.517
Length   26/2, alignment  3/ 0, fail:	198.726
Length   26/2, alignment  3/ 3, found:	192.127
Length   26/2, alignment  3/ 3, fail:	198.79
Length   26/2, alignment  3/ 9, found:	190.705
